MaterialNumber,Sales,CoGS
NA 004654603781,NA,NA
570241 004658222679,45104.95,34526.04
570241 004658230679,100418.6,23403.53
NA 004661500781,21442.51,3681.18
569251 004661508781,1301449.05,145640.46
570226 004661525679,115330.52,26171.18
NA 004668985781,94940.94,44731.22
NA 004669003781,120962.29,56973.86
NA 004669011781,94913.3,45821.49
569251 004669019781,141435.42,70615.32
570241 004675754679,13942.74,7150.48
570241 004675762679,37245.2,11532.24
570241 004675778679,26241.64,7231.18
570241 004675829679,54695.33,14598.08
570241 004675837679,88523.96,27438.94
NA 004684395781,NA,NA
NA 004684421781,NA,NA
NA 004684429781,NA,NA
NA 004684437781,NA,NA
NA 004684451781,NA,NA
NA 004685978679,NA,NA
NA 004687319679,16957.64,4863.96
NA 004687327679,NA,NA
NA 004687353679,14686.72,4200.79
NA 004687361679,10708.7,3950.99
NA 004687369679,NA,NA
NA 004687377679,20952.75,6191.13
570241 004687404679,12439.39,4362.09
NA 004687412679,NA,NA
570241 004687420679,19313.01,5552.92
NA 004687436679,NA,NA
570241 004687450679,24532.19,6912.36
NA 004687458679,11322.02,3978.19
570241 004687466679,8145.55,3214.64
NA 004687475679,NA,NA
NA 004687493679,NA,NA
NA 004689241679,13465.25,4420.91
NA 004689245679,NA,NA
570241 004689263679,14756.39,4784.87
570241 004689271679,8541.8,2988.95
NA 004689279679,11779.11,4220.3
NA 004689287679,NA,NA
570241 004689314679,15653.88,5235.17
NA 004689322679,5458.39,2402.24
570241 004689330679,9222.56,4159.96
570241 004689338679,20552.81,6402.31
570226 004689477679,29000.58,44648.21
NA 004689919679,NA,NA
570241 004689927679,NA,NA
570241 004689949679,NA,NA
NA 004689957679,13018.16,4586.98
NA 004689984679,4557.67,1978.71
570241 004689992679,8271.98,2969.4
NA 004690000679,9136.45,3846.27
NA 004690008679,7321.12,3043.72
NA 004690016679,15883.85,5085.61
570241 004690025679,4506.26,1919.33
570241 004690294679,NA,NA
NA 004690302679,6012.66,2188.95
570241 004690310679,NA,NA
570241 004690318679,5737.19,2437.79
NA 004690335679,11698.04,3979.28
570241 004690352679,8821.02,2956.92
570241 004690360679,11074.59,3691.33
570241 004690376679,7188.42,3020.07
NA 004690385679,7804.14,3957.6
NA 004690403679,9925.93,3595.23
570241 004690411679,10339.42,3552.49
570241 004690419679,NA,NA
NA 004690427679,344.41,136.4
NA 004690449679,9029.16,3738
570241 004690457679,8760.75,3000.79
569279 004690802781,5263811.62,1475350.18
NA 004690826679,9704.93,3240.23
NA 004690835679,350.5,176.76
NA 004690848679,NA,NA
NA 004690856679,NA,NA
NA 004690865679,10815.82,3921.88
570241 004690883679,14039.35,5138.76
NA 004690891679,NA,NA
570241 004690899679,13249.02,4400.29
NA 004690907679,NA,NA
NA 004690934679,NA,NA
NA 004690942679,NA,NA
570241 004690964679,14043.62,4482.21
NA 004690972679,17187.72,5256.43
570241 004690980679,24623.26,7165.39
NA 004690988679,7283.5,2622.25
NA 004690996679,15162.49,5397.33
570241 004691005679,15818.7,5018.95
570241 004691023679,12573.13,4017.23
NA 004691031679,14684.05,4603.88
NA 004691282679,9623.99,3871.11
570241 004691290679,14144.04,4243.2
570241 004691298679,13191.85,4920.64
NA 004691306679,15562.6,4588.82
570241 004691315679,9689.09,3481.47
NA 004691333679,NA,NA
570241 004691341679,13583.52,4388.72
NA 004691348679,16271.52,4821.04
NA 004691356679,NA,NA
NA 004691365679,20761.38,7209.09
570241 004691383679,15153.56,4584.11
NA 004691391679,6945.53,2762.76
570241 004691399679,NA,NA
NA 004691407679,9854.44,3867.84
NA 004691434679,6883.54,2973.3
570241 004691442679,8197.23,3343.69
NA 004691464679,5942.55,2630.37
NA 004691472679,10038.79,4252.77
570241 004691480679,7304.6,2986.51
NA 004691488679,NA,NA
570241 004691496679,1785.57,2024.91
570241 004694425679,4423.03,2844.75
NA 004694443679,5437.3,3027.67
570241 004694446679,3935.83,3994.36
NA 004694455679,2936.65,1709.18
NA 004694473679,17711.18,6446.35
NA 004694481679,NA,NA
NA 004694489679,NA,NA
NA 004694497679,NA,NA
NA 004694524679,3040.94,1688.35
NA 004694532679,NA,NA
NA 004694540679,1429.13,1406.18
NA 004694554679,NA,NA
570241 004694562679,4227.93,2795.31
NA 004694570679,NA,NA
570241 004694586679,4089.39,2294.9
570241 004694595679,7470.65,3510.59
570241 004694613679,NA,NA
NA 004694621679,4778.11,2455.7
NA 004694629679,2420.31,2652.3
570241 004694651679,4205.84,2286.46
570241 004695461679,517850.28,45500.64
570241 004695469679,227412.79,33432.41
570241 004695477679,1740048.02,102842.93
570241 004695504679,812143.21,92877.33
NA 004695787679,1607.9,1633.23
570241 004695814679,1098.25,1145.64
NA 004695822679,NA,NA
NA 004695830679,NA,NA
NA 004695838679,NA,NA
NA 004695852679,NA,NA
NA 004695860679,NA,NA
NA 004695868679,1994.59,1740.54
NA 004695876679,2470.13,2723.35
570241 004695885679,2919.01,1910.18
NA 004695903679,937.52,576.86
NA 004695911679,1367.18,992.7
570241 004695919679,NA,NA
NA 004695927679,NA,NA
NA 004695949679,NA,NA
570241 004695957679,2092.68,985.5
NA 004695984679,1134.26,1286.74
570241 004695992679,1981.83,2365.84
NA 004696000679,2577.24,2689.28
570241 004696008679,298.22,384.97
NA 004696500679,NA,NA
NA 004696508679,2332.39,2040.42
NA 004696516679,2930.99,3117.84
NA 004696525679,NA,NA
NA 004696543679,1821.41,2351.63
NA 004696546679,NA,NA
NA 004696555679,NA,NA
NA 004696573679,NA,NA
NA 004696581679,3182.88,3501.76
NA 004696589679,2133.77,2127.03
NA 004696624679,1016.21,910.96
NA 004696632679,NA,NA
NA 004696640679,2769.16,2775.98
NA 004696654679,2267.21,2704.89
NA 004696662679,NA,NA
NA 004696670679,2220.3,2019.33
NA 004696678679,2814.95,1723.13
NA 004696686679,NA,NA
NA 004696695679,2228.21,1612.14
570241 004696713679,2859.6,2016.31
570241 004696721679,1902.47,2095.12
NA 004696729679,2001.82,2098.98
NA 004696737679,899.82,1003.94
NA 004696751679,1005.99,999.37
570241 004696759679,2933.82,2679.43
NA 004696767679,NA,NA
NA 004696794679,NA,NA
570241 004696802679,646.96,583.14
NA 004696810679,NA,NA
NA 004696818679,NA,NA
NA 004696826679,NA,NA
NA 004696835679,64577.12,22843.03
NA 004696848679,NA,NA
NA 004696856679,NA,NA
570241 004696865679,NA,NA
569251 004697434679,682299.8,41600.74
570226 004700149679,185504.8,39685.98
NA 004700657781,NA,NA
NA 004700684781,NA,NA
NA 004700692781,NA,NA
NA 004700700781,NA,NA
NA 004700708781,NA,NA
NA 004705588781,NA,NA
NA 004705596781,NA,NA
NA 004705605781,NA,NA
NA 004705623781,NA,NA
NA 004705631781,NA,NA
NA 004705639781,NA,NA
NA 004705653781,NA,NA
569251 004709831781,2230777.27,53143.07
570226 004709839679,2029345.67,116036.87
570226 004709861679,1931803.47,106111.66
570226 004709869679,308346.51,48843.35
569278 004711710781,425722.45,287422.45
569278 004711735781,134.37,514.85
570241 004712781679,22287.71,4132.7
570241 004712789679,85321.48,15039.99
570241 004712797679,69888.32,13313.29
570226 004713269679,76682.19,42911.33
NA 004714417781,NA,NA
NA 004718512781,NA,NA
570241 004719073679,410961.23,47771.6
NA 004720209679,NA,NA
NA 004720217679,19236.28,13073.13
NA 004720244679,NA,NA
NA 004722293679,NA,NA
570241 004722301679,31553.38,14505.38
570241 004722309679,20399.79,11205.75
570241 004730223679,75590.94,26286.86
570241 004730239679,58951.5,20127.08
570241 004731203679,156337.57,14979.64
570241 004731211679,4216.8,11586.18
570241 004731219679,12141.18,1647.41
570241 004731227679,29954.98,4492.26
NA 004731249679,13958.26,1811.9
569251 004732051781,339,264.89
570226 004737881679,567200.08,30442.34
NA 004740570679,3641.19,2041
NA 004740586679,5927.79,9310.04
570241 004740595679,5230.08,2036.29
570241 004740613679,10327.77,1005.94
570241 004740621679,125377.76,15243.01
570241 004740629679,16511.48,10788.53
570241 004740637679,340559.8,56055.15
570241 004740659679,12154.31,12511.02
570241 004740702679,41178.94,12812.4
570241 004740726679,87043.82,15093.89
570241 004740748679,110867.62,23933.06
570241 004740765679,400351.21,65281.96
NA 004746070679,2794.69,1124.59
570241 004746078679,NA,NA
570241 004746095679,3765.13,6330.54
570241 004746129679,144504.18,21019.69
570241 004746159679,3983.64,8584.6
570241 004747271679,59028.27,11173.23
570241 004747279679,161800.36,42656.33
NA 004783352781,1802040.43,171729.13
NA 004789257781,32061.4,11377.88
570226 004803369679,28056.18,21255.89
570226 004805338679,178955.81,99348.86
570226 004807505679,93626.87,12788.95
569279 004810522781,22864.65,13139.3
NA 004824622781,171345.52,49895.92
570241 004825470679,19211.5,9307.62
569251 004829352781,1970498.05,16414.97
570241 004831379679,22062.85,16789.71
570241 004831387679,37308.19,14067.39
NA 004831414679,52097,12642.3
569722 004860278868,3691.67,7158.93
NA 004872222679,NA,NA
569278 004874103781,1017398.25,410434.66
570226 004889646679,5272664.43,211490.17
570226 004889697679,4222951.97,253193.41
NA 004892010781,NA,NA
570226 004899211679,468419.4,50958.99
570226 004899375679,1329241.76,135357.74
NA 004899401781,682241.97,75352.11
570241 004900462679,36209.65,23796.62
570241 004900470679,59192.91,24586.87
570241 004900478679,25089.31,7717.59
570241 004900486679,13077.58,4367.64
570226 004904688679,2344714.61,127286.58
570241 004909182679,1727141.36,128214.44
570241 004909190679,357704.61,30460.72
570226 004911976679,863086.77,69227.69
570226 004911985679,64447.23,8382.39
570241 004916195679,361720,42100.14
570241 004916259679,1385125.07,143787.54
570241 004916294679,51444.12,14696.46
570241 004916302679,178575.41,27761.32
570241 004916403679,434649.47,45289.21
569251 004922516781,233553.79,32642.81
NA 004923315781,NA,NA
569251 004929478781,18931165.41,2329515.2
570241 004944423679,735894.9,352682.59
570241 004944431679,47018.33,28414.2
NA 004976991781,49958.92,17271.81
570361 004982163781,91531.86,25030.07
570361 004983169781,180330.08,43494.06
570361 004983204781,286864.53,53755.6
570361 004983220781,188942.33,44965.61
NA 004983250781,20635.52,4474.02
570241 004986257679,6842.72,7916.98
570241 004986300679,2893.5,3179.49
570226 004994230679,322512.37,32738.88
NA 004994276781,NA,NA
NA 005003482781,65043.37,29388.06
570241 005018289679,170236.31,38758.77
570241 005018297679,24989.01,7283.27
570241 005018324679,16268.24,6321.72
NA 005030117679,NA,NA
NA 005030182679,NA,NA
570241 005048510679,7426.03,3694.41
570241 005048535679,3153.42,1495.33
NA 005048556679,3928.79,1896.27
570241 005048591679,3718.23,1701.18
NA 005058497781,NA,NA
570241 005058834679,2835907.53,178907.54
NA 005064307679,NA,NA
569278 005068270781,12460.18,4132.66
569251 005068837679,125425.31,16309.15
569251 005068851679,830143.41,81005.75
570241 005082921679,38856.63,13052.04
570241 005084300679,26351.56,22242.43
570241 005084308679,66486.88,24418.63
570241 005093629679,46381.18,16364.23
NA 005112237781,NA,NA
NA 005114199781,-34427.8,20461.69
570226 005116748679,204372.19,105716.74
NA 005141988781,1214.12,409.05
NA 005142023781,275.21,175.64
NA 005142193781,NA,NA
569278 005169405781,57535.87,13191.98
NA 005175287781,29057.79,12126.34
NA 005175314781,18261.59,7220.7
570361 005186585679,110260.89,23726.04
NA 005186781781,NA,NA
570361 005186937679,381974.39,68022.34
NA 005189424781,198.67,151.58
569251 005189454781,1904.09,1505.95
NA 005189513781,NA,NA
NA 005189521781,NA,NA
569251 005189950781,9415394.76,300343.82
NA 005191735679,NA,NA
570241 005192886679,13028.09,5486.44
NA 005198477781,NA,NA
NA 005205492781,NA,NA
NA 005216672781,103730.46,103674.68
569279 005234686781,88777.94,81890.16
NA 005237293781,NA,NA
570226 005326083679,616214.98,86819.29
NA 005341704679,NA,NA
NA 005341890679,NA,NA
570361 005342225679,743474.03,246847.38
NA 005352252781,50699.84,10872.77
569278 005354038781,162129.89,74079.96
NA 005366431781,507955.07,147868.59
NA 005398452781,12626.74,3027.53
NA 005401502781,3414017.5,792322.56
570241 005403365679,720141.26,462734.33
NA 005403391679,NA,NA
570241 005403399679,139660.59,104998.34
570241 005403434679,162149.9,155479.41
570241 005403464679,269283.4,145560.16
570241 005403472679,1168726.53,568620.89
570241 005403480679,91667.53,189851.61
570241 005403496679,228437.22,211215.68
570241 005403505679,36223.77,104472.23
NA 005419089781,17448.14,5219.29
NA 005420636781,NA,NA
NA 005422420781,190.79,111.59
NA 005422428781,NA,NA
569251 005450240781,194825.67,20007.43
569251 005460227781,141575.09,5514.49
569251 005460375781,137628.3,44395.47
570241 005468547679,103566.26,114467.89
570226 005469880679,684901.15,388892.22
NA 005482992679,24760.24,7008.37
570226 005504726679,53039.85,11118.07
NA 005535178679,NA,NA
570226 005535195679,2354.24,2260.59
NA 005535213679,NA,NA
NA 005535229679,2931.69,1260.32
NA 005535251679,3854.68,1260.57
570226 005535259679,43594.76,21752.65
NA 005535294679,19843.01,9117.07
570226 005535302679,167652.35,203748.24
NA 005539878779,NA,NA
569251 005539878781,171742.09,23144.24
NA 005548397781,15405.74,19660.67
NA 005548432781,8837.41,16050.53
NA 005548440781,22521.61,9718.92
NA 005548470781,12190.49,2563.67
NA 005548478781,10106.5,3851.28
NA 005548521679,77176.53,19635.56
NA 005551147781,NA,NA
NA 005553579781,17736.47,8096.82
570226 005575437679,56015.32,27210.51
570361 005580911679,122808.02,39834.61
NA 005584908679,NA,NA
570226 005584916679,1961.01,1359.33
NA 005584943679,NA,NA
NA 005584955679,NA,NA
NA 005584973679,1777.3,1218.08
NA 005584989679,NA,NA
NA 005584997679,NA,NA
NA 005585167679,NA,NA
NA 005585194679,4247.15,2587.44
NA 005585210679,NA,NA
NA 005585218679,6942.5,3395.17
NA 005585226679,2838.8,1790.49
NA 005585235679,34293.64,18174.77
NA 005585248679,14890.01,4992.39
NA 005585256679,4364.03,1674.5
570226 005585283679,19779.36,6700.5
NA 005585307679,18122.15,6691.05
NA 005585334679,14378.17,6625.78
NA 005585349679,53787.05,31322.35
NA 005585384679,NA,NA
NA 005585400679,10111.44,22643.02
NA 005587097679,NA,NA
NA 005621269781,NA,NA
570226 005621761679,318185.67,29066.88
570361 005621769679,74479.75,31005.16
570366 005636598679,338107.1,50527.08
570366 005636606679,104145.88,15998.67
NA 005642738679,NA,NA
NA 005645310781,155573.19,236497.16
570427 005652815679,242610.64,16777.21
570427 005652841679,71034.07,26348.58
570427 005652985679,289172.67,63811.96
570427 005653003679,271728.65,72076.86
570427 005653011679,360248.54,79519.5
570427 005653049679,33801.44,21821.21
570427 005653057679,41385.9,28206.62
570427 005653084679,32850.06,15479.15
570427 005653092679,73290.87,17684.55
570427 005653108679,96988.66,24599.79
570427 005653116679,94354.65,17666.06
570427 005653125679,69074.7,21382.98
570427 005653143679,201897.63,64275
NA 005795607781,16064.94,1285.37
NA 005808968679,960.87,7064.65
NA 005876395781,62799.35,34484.54
NA 005876944781,1001.49,601.66
569999 005885785679,299691.46,9574.38
569999 005885803679,292091.84,10585.64
569999 005885811679,294146.31,11801.04
569999 005885819679,87782.24,25632.35
569999 005885827679,94012.5,10006.58
569251 005886659781,324.9,162.18
569251 005892489781,291266.54,117933.02
NA 005892497781,609789.88,117503.43
570241 005895136679,390793.3,73355.52
570241 005895298679,103863.71,37296.83
570241 005895315679,200887.59,65332.9
570241 005895333679,22070.91,16126.43
570241 005895496679,117796.72,21056.15
570241 005896027679,59447.5,23202.15
570241 005896146679,171140.14,65909.96
NA 005897631679,376866.91,141789.57
569251 005897736781,225.3,209.37
NA 005902345781,NA,NA
569278 005913059781,24311.32,1791.46
NA 005919460781,180.68,107.28
NA 005919468781,92.46,74.56
NA 005919476781,6994.27,1079.16
569251 005919503781,3998.77,837.87
569251 005919511781,23755.78,11715.51
569356 005944969679,116184.69,10372.51
569999 005944977679,573211.12,19588.37
569999 005945004679,321073.28,20281.08
569999 005945012679,318539.47,21053.73
569999 005945020679,86741.02,24955.73
570226 005945868679,150691.44,25297.57
570361 005954321781,186654.57,42937.05
569251 005954422781,475341.93,160841.02
569251 005958152781,573871.1,71226.15
569251 005958168781,2085.21,1656.71
NA 005959207781,NA,NA
NA 005959264781,NA,NA
NA 005959280781,NA,NA
NA 005959305781,NA,NA
NA 005959331781,NA,NA
NA 005959373781,NA,NA
NA 005959397781,NA,NA
NA 005959462781,NA,NA
NA 005959478781,NA,NA
NA 005964897781,NA,NA
569251 005965462781,2113803.14,664064.3
NA 005965478781,23004.62,17113.57
570361 005976348781,640195.68,105750.47
NA 005981203679,3642.97,9476.52
NA 005981211679,NA,NA
NA 005981219679,241886.84,212039.81
NA 005981227679,43668.46,24650.89
NA 005981249679,NA,NA
NA 005981257679,22354.71,14791.54
570361 005991477679,127187.82,56266.95
NA 005991984781,156.3,119.79
570226 005995222679,274842.08,55609.61
569356 005997512679,29889.77,7565.61
569356 005997520679,29782.91,7872.56
569356 005997528679,41807.99,7405.18
569356 005997550679,58990.01,10072.67
569356 005997566679,46670.3,9903.79
570361 005998624781,920491.03,448117.71
569251 006283272781,337.81,388.16
570361 006300135679,405458.49,72500.8
NA 006345186679,NA,NA
NA 006360718781,NA,NA
NA 006364626679,119617.21,52833.19
570241 006368124679,71392.46,37836.58
570241 006368132679,370023.24,115827.31
570241 006368154679,525584.19,177702.94
570241 006368581679,520282.69,158323.54
570241 006368589679,129543.2,55687.96
570241 006368891679,789246.4,260610.14
570226 006369166679,14656.59,7584.33
NA 006371169781,NA,NA
NA 006371177781,NA,NA
NA 006371204781,NA,NA
NA 006371212781,NA,NA
NA 006371220781,NA,NA
NA 006371228781,NA,NA
NA 006371236781,NA,NA
NA 006371250781,NA,NA
NA 006371258781,NA,NA
570361 006372200781,780875.16,343056.15
570361 006372225781,587362.45,45422.3
570226 006377236679,6502702.79,1186460.08
570226 006377250679,74040.07,72584.9
570226 006377258679,105350.86,16392.14
570226 006377266679,21066.8,14021.13
570226 006405027679,312835.91,61747.42
570226 006405057679,656158.44,65509.15
NA 006406588679,NA,NA
NA 006406623679,NA,NA
NA 006406661679,NA,NA
NA 006406677679,NA,NA
NA 006411916679,862578.87,42126.95
570427 006425004679,648784.23,112554.07
570427 006425012679,467265.37,94588.46
570226 006432457679,1175198.75,272903.7
NA 006434689679,NA,NA
570241 006434724679,3948,4178.22
NA 006447121679,77529.5,44584.45
570427 006457829679,23457,5568.79
570427 006457926679,657043.91,112445.69
570427 006457935679,418502.7,36440.26
570427 006457983679,33456.81,17110.21
570427 006457991679,4376.6,1557.9
570427 006457999679,36775.85,10797.78
NA 006478081781,49195.48,20938.14
570361 006481704679,NA,NA
569251 006486197679,319059.42,145947.96
NA 006486414781,187632.28,82509.37
NA 006497126679,NA,NA
NA 006497148679,NA,NA
570361 006497950679,1293039.18,137594
569278 006505629679,154910.14,104936.91
569251 006531539781,171244.94,41775.07
569251 006531553781,123352.8,13570.24
569251 006531561781,516837.55,45386.33
569251 006531569781,90974.72,14638.58
NA 006539801679,NA,NA
570241 006540627679,135084.75,58398.86
570241 006540649679,29155.4,25981.23
570361 006540700781,166794.27,22749.81
570226 006545933679,41653489.46,4683846.64
NA 006551121781,NA,NA
NA 006597275679,234847.44,103859.74
NA 006599866781,1456.64,1203.3
570427 006611678679,32620.99,16686.67
570427 006611737679,328300.9,132608.57
570427 006611751679,30312.32,17445.24
NA 006614230781,NA,NA
570427 006615473679,19775.92,7783.88
NA 006617178679,NA,NA
570226 006643047679,30160.94,8715.24
570226 006643074679,3082526.37,423103.55
NA 006652525781,NA,NA
570226 006653112679,65246.96,45674.2
570226 006653120679,260683.78,79259.16
569251 006659912781,41598.07,6668.27
570427 006663142679,30404.22,5665.12
570427 006666517679,81367.92,10513.27
570427 006666544679,31756.82,8337.3
570427 006666547679,38400.39,14932.21
570427 006666574679,27054.42,12705.69
570427 006666582679,87369.75,35128.89
570427 006666590679,73219.9,35755.31
570427 006666598679,73867.04,31353.28
570427 006666606679,20011.1,8366.18
570427 006666633679,83578.88,31715.62
569611 006677965679,3803.48,2300.39
569611 006677983679,28713.29,12700.75
569611 006677991679,12491.32,7119.73
569611 006677999679,11031.4,3168.09
569611 006678007868,4590.46,2681.94
569611 006678034868,4813.28,2481.07
569611 006678042868,169.05,173.02
569611 006678064868,339.27,417.05
569611 006678080868,861.05,1036.58
569611 006678088868,349.59,798.13
569601 006678139868,317923.25,47123.11
569601 006678161868,258547.5,54432.19
569601 006678228868,463424.47,76510.03
569601 006678250868,25544.32,24249.86
569601 006678293868,7578.24,6526.41
569601 006678317868,15702.38,39382.15
569601 006678344868,39021.85,65988.03
NA 006678712781,NA,NA
570427 006684088679,422353.66,122172.73
570427 006684534679,146327.86,52032.96
570427 006684542679,113102.33,43673.32
570427 006684572679,120088.76,47010.45
570427 006684890679,117575.2,46025.68
570427 006684898679,109579.23,46296.27
570427 006684906679,88469.2,46366.35
570427 006684915679,81627.64,43206.49
570427 006684933679,87923.51,45789.56
NA 006685862679,NA,NA
570366 006686680679,29341.06,7343.15
570427 006687045679,31920.52,13925.62
NA 006687071679,NA,NA
570427 006691830679,26880.13,15909.85
569251 006695017781,178169.92,93912.46
NA 006721835781,NA,NA
570226 006722800679,18626.05,6315.45
NA 006727654679,736.02,569.15
570226 006748726679,24173.41,6812.24
570226 006756500679,933172.98,63807.94
NA 006756686781,NA,NA
NA 006756695781,NA,NA
NA 006756721781,NA,NA
NA 006756759781,NA,NA
NA 006756767781,NA,NA
NA 006756802781,NA,NA
NA 006756810781,NA,NA
NA 006756826781,NA,NA
NA 006756835781,NA,NA
NA 006756848781,NA,NA
NA 006756856781,NA,NA
NA 006756865781,NA,NA
NA 006778674679,1943.88,907.11
570366 006779632679,177090.16,71945.35
570366 006779662679,157116.44,55335.69
570241 006783880679,34711.87,17262.44
570241 006783888679,17670.22,11793
NA 006870840781,NA,NA
NA 006870870781,NA,NA
NA 006871429781,NA,NA
NA 006871437781,NA,NA
NA 006871451781,NA,NA
NA 006871459781,NA,NA
NA 006871467781,NA,NA
NA 006871502781,NA,NA
NA 006871510781,NA,NA
NA 006871518781,NA,NA
NA 006871526781,NA,NA
NA 006871583781,NA,NA
NA 006871591781,NA,NA
NA 006871599781,NA,NA
NA 006871607781,NA,NA
NA 006871634781,NA,NA
NA 006871642781,NA,NA
NA 006871664781,NA,NA
NA 006871672781,NA,NA
NA 006871680781,NA,NA
NA 006871688781,NA,NA
NA 006871696781,NA,NA
NA 006871705781,NA,NA
NA 006871723781,NA,NA
NA 006871731781,NA,NA
NA 006871739781,NA,NA
NA 006871761781,NA,NA
NA 006871769781,NA,NA
NA 006871804781,NA,NA
NA 006871820781,NA,NA
NA 006871836781,NA,NA
570241 006881425679,2778.8,4128.67
570241 006881446679,6828.97,10227.76
NA 006881455679,1869.65,5234.79
NA 006881473679,NA,NA
NA 006912429679,NA,NA
NA 006924883679,13017.99,9270.14
570226 006926549679,846363.99,84255.12
570226 006926837679,282774.12,26167.89
570366 006980297679,485322.81,186323.38
NA 006984173679,19858.39,4180.93
NA 006990428679,84119.65,11977.74
NA 006991086781,56214.58,29129.55
570427 006992390679,22006.6,11916.05
570427 006992398679,261622.83,20969.62
570427 006992415679,41726.24,9836.34
570427 006992433679,298717.33,25147.05
570427 006992445679,184578,15774.46
570427 006992463679,162041.94,13142.99
570427 006992471679,75635.43,11076.85
570427 006992514679,101478.15,9811.9
570361 007014595781,227058.2,7573.28
569251 007022063781,104831.56,60524.91
570427 007023061679,40512.48,22432.11
570427 007023069679,31663.39,19566.89
570427 007023217679,30987.28,19283.59
570427 007023247679,29232.31,18237.62
NA 007045081679,NA,NA
569251 007053511781,373338.5,13805.86
NA 007073885781,NA,NA
570226 007085518679,1535745.23,123809.04
570427 007096647679,17746.96,12661.36
570427 007096690679,NA,NA
570226 007101937679,1650101.81,221587.83
570226 007101951679,138891.85,14595.5
570226 007101967679,312702.5,71054.79
570226 007131239679,32185.85,35188.24
569251 007138970781,942425.18,289063.66
569251 007145618679,446173.16,20471.84
NA 007146908781,NA,NA
570366 007147864679,105323.96,25222.59
570366 007147939679,264324.71,38368.04
570361 007212822679,182429.13,49487.05
570427 007215108679,64209.41,4914.91
570361 007217463781,74118.21,7568.31
NA 007229423781,81314.38,52357.36
570226 007250776679,70089.05,5449.64
570427 007302163679,282892.6,38337.04
569251 007338054781,90114.88,29417.13
570226 007341887679,424120.67,93025.11
570226 007341922679,1377594.86,60581.52
570226 007341930679,262431.58,20270.6
570226 007341968679,205994.63,27017.59
570226 007342011679,55418.33,21387.54
NA 007370488781,35934.36,9656.18
570427 007370523679,41091.72,22965.12
570427 007370531679,37656.92,21255.18
570427 007370539679,38250.1,21573.76
570427 007370666679,49520.46,26868.58
569251 007370717781,69779.72,30123.2
569251 007373872781,150742.97,51704.72
570427 007376922679,8050.66,2300.2
570427 007376938679,27639.46,5946.49
570427 007376952679,38951.9,7086.89
570427 007376960679,23885.28,9212.3
570427 007376968679,28245.29,5064.18
570427 007397787679,113681.38,58101.97
570427 007397830679,184627.83,71259.54
NA 007397838679,NA,NA
NA 007397868679,NA,NA
570427 007397911679,1019048.75,217281.1
570427 007397927679,290925.88,105965.37
570427 007397957679,1933539.66,643883.49
570427 007398000679,803541.98,399770.31
570427 007398025679,38180.74,23188.48
570361 007430034679,93391.77,19121.89
569251 007431374781,66634.27,16177.01
570361 007432261781,42518.31,4292.5
NA 007542134679,145834.75,47819.18
569611 007559050679,16353.03,13073.28
569611 007559058679,14361.53,10793.46
569611 007559066679,12087.07,7302.85
NA 007568697781,NA,NA
570361 007571320679,99955.56,55135.39
570226 007660381679,2516511.69,868904.1
569423 007662307679,1503123.2,397518.99
570361 007705907781,157287.44,13881.9
570366 007706282679,155.79,1442.16
570366 007706298679,2026.23,1556.11
570366 007706306679,3152.97,1471.04
570366 007706315679,93.51,932.74
570366 007706341679,NA,NA
570427 007707902679,10384.76,10982.47
570427 007707910679,28060.48,28771.23
570427 007707935679,11218.14,9664.42
570427 007707948679,43134.48,36889.92
570427 007707965679,15923.8,3244.46
570427 007707999679,24938.39,4789.66
569251 007711308781,43966.63,26937.64
NA 007715103781,NA,NA
570366 007730956679,11319.65,12015.19
570361 007731080679,140459.01,69674.49
NA 007731088781,NA,NA
570361 007731105679,627543.09,177928.36
569251 007733609781,25409.3,1996.99
569251 007733674781,169202.25,12292.11
570361 007761038679,20059.1,17236.71
570427 007768982679,2435.46,1707.62
570427 007768990679,2683.3,2008.79
570427 007769015679,2741.39,2233.36
570427 007769045679,204027.92,77065.36
570226 007796743679,19551.84,24963.99
570226 007802374679,7353.7,2339.85
570226 007802441679,19454.5,4573.12
570226 007802479679,8586.59,3280.96
570226 007802522679,9374.19,3301.62
570226 007808706679,63393.64,43807.41
570226 007859896679,109300.75,82736.42
570361 007874333679,9018348.28,2249683.92
569251 007875813679,3776.62,2335.6
570226 007914614679,10383.23,6759.09
570226 007914638679,5599.23,4051.57
570226 007914660679,1278.02,1631.75
570226 007914668679,6135.06,4100.14
570226 007914719679,7456.1,3694.96
570226 007914784679,13429.54,6270.02
570226 007914800679,77562.15,22867.22
570226 007914825679,1582.72,1195.23
570226 007914843679,241.44,651.53
569278 007932442781,1442182.85,1093728.79
NA 007942170791,NA,NA
570226 007960638679,10117.94,3732.32
569251 007975054781,170310.78,15730.93
569423 007991615679,1155150.55,263522.32
570361 008013823679,34138.11,13799.93
570241 008042197679,88603.53,18721.72
570427 008057990679,8115.88,4800.88
570427 008058006679,14759.74,5767.09
570427 008059288679,97523.13,49963.01
570427 008059323679,84196.29,51853.25
570432 008063378679,112350.31,80049.09
570432 008063386679,340947.83,204648.39
570432 008063395679,375979.71,182964.11
NA 008064343679,NA,NA
570361 008076806679,11727.28,3862.8
NA 008085959679,NA,NA
NA 008086002679,NA,NA
NA 008086010679,NA,NA
NA 008086026679,NA,NA
570427 008086048679,4112.76,3569.41
